Block,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,CodeSum_BR,CodeSum_DZ,CodeSum_DZ BR,CodeSum_RA,CodeSum_RA BR,CodeSum_RA DZ,CodeSum_RA DZ BR,CodeSum_TS,CodeSum_TS BR,CodeSum_TS RA,CodeSum_TS RA BR,Daylight,Year,Month,Day,Species_no_wnv_bug,Species_wnv_bug
89,159,41.732984,-87.649642,8,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896,2007,5,29,1,0
41,002,41.95469,-87.800991,9,3,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
41,002,41.95469,-87.800991,9,5,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
41,002,41.95469,-87.800991,9,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
79,015,41.974089,-87.824812,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
79,015,41.974089,-87.824812,8,2,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
15,045,41.9216,-87.666455,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
15,045,41.9216,-87.666455,8,2,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
15,045,41.9216,-87.666455,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
25,046,41.891118,-87.65449100000001,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
11,048,41.867108,-87.654224,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
11,048,41.867108,-87.654224,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
11,048,41.867108,-87.654224,8,2,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
11,049,41.896282,-87.655232,8,2,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
21,050,41.919343,-87.694259,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
21,050,41.919343,-87.694259,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
22,054,41.921965,-87.632085,8,3,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
22,086,41.688324,-87.676709,8,4,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
17,094,41.720848,-87.666014,9,2,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
22,096,41.731922,-87.677512,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
22,096,41.731922,-87.677512,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
22,096,41.731922,-87.677512,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
65,143,41.999128999999996,-87.795585,8,2,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
65,143,41.999128999999996,-87.795585,8,9,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
15,153,41.907645,-87.760886,8,3,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
89,159,41.732984,-87.649642,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
91,009,41.981964000000005,-87.812827,8,2,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
36,011,41.944869,-87.832763,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
72,016,42.011601,-87.81150600000001,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
38,019,41.94983,-87.69845699999999,9,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
49,025,41.979243,-87.750938,9,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
58,028,41.986921,-87.689778,9,2,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
50,031,41.801497999999995,-87.763416,9,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
14,033,41.906638,-87.701431,9,3,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
10,089,41.723195000000004,-87.64997,5,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
11,090,41.868077,-87.666901,9,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
11,090,41.868077,-87.666901,9,7,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
11,092,41.869215999999994,-87.627561,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
42,135,41.662014,-87.72460799999999,8,2,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
42,135,41.662014,-87.72460799999999,8,4,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
42,135,41.662014,-87.72460799999999,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
53,141,41.961743,-87.76007,9,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
53,141,41.961743,-87.76007,9,2,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
40,142,41.953067,-87.776792,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
40,142,41.953067,-87.776792,8,3,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
43,145,41.878114000000004,-87.629798,3,3,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
42,146,41.958271,-87.702575,9,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
42,146,41.958271,-87.702575,9,2,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
28,147,41.932094,-87.700117,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
15,149,41.994469,-87.667736,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
18,150,42.006858,-87.675919,9,2,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
70,151,41.916265,-87.800515,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
70,151,41.916265,-87.800515,8,10,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
25,152,41.846075,-87.716277,9,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
21,154,41.918704999999996,-87.752329,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
35,158,41.682587,-87.707973,9,3,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
35,158,41.682587,-87.707973,9,8,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
93,162,41.725516999999996,-87.61425799999999,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
37,218,41.948167,-87.730698,8,2,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,0,1
37,218,41.948167,-87.730698,8,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
45,220,41.963976,-87.69181,9,1,0,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,0,0,0,0,1,0,0,0,0,0,0,906,2007,6,5,1,0
41,002,41.95469,-87.800991,9,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
41,002,41.95469,-87.800991,9,4,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
41,002,41.95469,-87.800991,9,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
62,007,41.994991,-87.769279,9,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
62,007,41.994991,-87.769279,9,4,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
79,015,41.974089,-87.824812,8,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
15,045,41.9216,-87.666455,8,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
15,045,41.9216,-87.666455,8,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
25,046,41.891118,-87.65449100000001,8,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
25,046,41.891118,-87.65449100000001,8,6,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
11,048,41.867108,-87.654224,8,2,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
11,049,41.896282,-87.655232,8,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
21,050,41.919343,-87.694259,8,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
22,086,41.688324,-87.676709,8,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
22,086,41.688324,-87.676709,8,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
22,086,41.688324,-87.676709,8,2,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
22,096,41.731922,-87.677512,8,5,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
53,129,41.891126,-87.61156,5,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
53,129,41.891126,-87.61156,5,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
65,143,41.999128999999996,-87.795585,8,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
65,143,41.999128999999996,-87.795585,8,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
75,148,42.01743,-87.68776899999999,8,2,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
75,148,42.01743,-87.68776899999999,8,2,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
36,011,41.944869,-87.832763,8,2,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
36,011,41.944869,-87.832763,8,4,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
72,016,42.011601,-87.81150600000001,8,2,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
72,016,42.011601,-87.81150600000001,8,2,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
38,019,41.94983,-87.69845699999999,9,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
49,025,41.979243,-87.750938,9,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
58,028,41.986921,-87.689778,9,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
58,028,41.986921,-87.689778,9,9,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
14,033,41.906638,-87.701431,9,2,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
14,033,41.906638,-87.701431,9,3,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
11,090,41.868077,-87.666901,9,10,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
11,090,41.868077,-87.666901,9,19,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
11,090,41.868077,-87.666901,9,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
42,135,41.662014,-87.72460799999999,8,20,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
42,135,41.662014,-87.72460799999999,8,25,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
42,135,41.662014,-87.72460799999999,8,6,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
53,141,41.961743,-87.76007,9,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
53,141,41.961743,-87.76007,9,3,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
40,142,41.953067,-87.776792,8,4,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
43,145,41.878114000000004,-87.629798,3,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
42,146,41.958271,-87.702575,9,6,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
28,147,41.932094,-87.700117,8,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
18,150,42.006858,-87.675919,9,2,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
70,151,41.916265,-87.800515,8,3,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
70,151,41.916265,-87.800515,8,6,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
35,158,41.682587,-87.707973,9,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
35,158,41.682587,-87.707973,9,4,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
45,220,41.963976,-87.69181,9,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
40,001,41.953705,-87.733974,8,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
46,003,41.964242,-87.757639,8,2,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
60,006,41.990284,-87.797127,8,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,0,1
60,006,41.990284,-87.797127,8,1,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
70,008,42.008314,-87.77792099999999,9,2,0,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1,0,0,0,0,0,0,0,0,0,0,913,2007,6,26,1,0
