,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Daylight,CodeSum_BR,CodeSum_DZ,CodeSum_DZ BR,CodeSum_RA,CodeSum_RA BR,CodeSum_RA DZ,CodeSum_RA DZ BR,CodeSum_TS,CodeSum_TS BR,CodeSum_TS RA,CodeSum_TS RA BR
36,2007-05-19,80,56,68,8,39,53,0,3,0.0,29.34,30.08,11.1,24,11.4,1480,0,0,0,0,0,0,0,0,0,0,0
38,2007-05-20,69,43,56,-5,40,44,9,0,0.07,29.38,30.11,10.4,4,10.7,1482,0,0,0,1,0,0,0,0,0,0,0
40,2007-05-21,80,44,62,1,50,56,3,0,0.0,29.33,30.06,6.3,11,8.2,1484,0,0,0,0,0,0,0,0,0,0,0
42,2007-05-22,87,55,71,10,46,58,0,6,0.0,29.34,30.06,10.0,18,10.2,1486,0,0,0,0,0,0,0,0,0,0,0
44,2007-05-23,89,60,75,14,49,61,0,10,0.0,29.39,30.1,11.4,19,11.8,1487,0,0,0,0,0,0,0,0,0,0,0
46,2007-05-24,88,63,76,14,54,63,0,11,0.02,29.41,30.11,14.9,21,17.3,1489,0,0,0,1,0,0,0,0,0,0,0
48,2007-05-25,70,56,63,1,44,53,2,0,0.0,29.51,30.24,4.9,5,8.8,1491,0,0,0,0,0,0,0,0,0,0,0
50,2007-05-26,65,49,57,-5,55,56,8,0,1.01,29.36,30.11,2.8,17,7.2,1493,0,0,0,0,1,0,0,0,0,0,0
52,2007-05-27,75,57,66,4,47,56,0,1,0.04,29.34,30.06,8.9,26,9.5,1494,0,0,0,0,1,0,0,0,0,0,0
54,2007-05-28,79,50,65,2,47,56,0,0,0.0,29.43,30.15,4.8,10,5.3,1495,0,0,0,1,0,0,0,0,0,0,0
56,2007-05-29,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1496,1,0,0,0,0,0,0,0,0,0,0
58,2007-05-30,87,66,77,13,58,65,0,12,0.0,29.31,30.04,10.3,19,10.6,1498,0,0,0,0,0,0,0,0,0,0,0
60,2007-05-31,78,65,72,8,61,65,0,7,0.01,29.28,30.0,9.3,19,9.9,1499,0,0,0,1,0,0,0,0,0,0,0
62,2007-06-01,85,62,74,10,63,66,0,9,0.19,29.19,29.91,4.2,17,6.4,1501,1,0,0,0,0,0,0,0,0,0,0
64,2007-06-02,81,65,73,9,63,67,0,8,0.04,29.03,29.77,6.5,22,7.4,1501,0,0,0,0,1,0,0,0,0,0,0
66,2007-06-03,78,62,70,6,60,63,0,5,0.01,28.82,29.56,5.2,25,6.7,1503,0,0,0,0,1,0,0,0,0,0,0
68,2007-06-04,71,58,65,1,58,60,0,0,0.39,28.82,29.52,7.8,31,9.7,1504,0,0,0,0,1,0,0,0,0,0,0
70,2007-06-05,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,1506,0,0,0,0,1,0,0,0,0,0,0
72,2007-06-06,71,44,58,-8,48,55,7,0,0.01,29.07,29.81,10.8,17,11.4,1506,0,0,0,1,0,0,0,0,0,0,0
74,2007-06-07,91,71,81,15,62,69,0,16,0.0,28.84,29.55,22.7,20,23.1,1507,0,0,0,0,0,0,0,0,0,0,0
76,2007-06-08,81,57,69,3,53,61,0,4,0.0,29.18,29.85,10.9,28,13.8,1508,0,0,0,0,0,0,0,0,0,0,0
78,2007-06-09,79,52,66,0,47,57,0,1,0.0,29.36,30.07,0.3,33,5.0,1509,0,0,0,0,0,0,0,0,0,0,0
80,2007-06-10,81,55,68,1,51,59,0,3,0.0,29.34,30.05,4.8,17,5.6,1510,0,0,0,0,0,0,0,0,0,0,0
82,2007-06-11,86,58,72,5,52,61,0,7,0.0,29.41,30.11,4.9,11,6.9,1510,0,0,0,0,0,0,0,0,0,0,0
84,2007-06-12,83,62,73,5,50,60,0,8,0.0,29.44,30.16,8.3,5,8.8,1511,0,0,0,0,0,0,0,0,0,0,0
86,2007-06-13,87,60,74,6,53,62,0,9,0.0,29.36,30.09,7.2,5,8.6,1511,0,0,0,0,0,0,0,0,0,0,0
88,2007-06-14,89,64,77,9,55,64,0,12,0.0,29.3,30.02,5.6,5,6.8,1512,0,0,0,0,0,0,0,0,0,0,0
90,2007-06-15,91,63,77,9,56,64,0,12,0.0,29.28,29.99,4.1,6,4.9,1512,0,0,0,0,0,0,0,0,0,0,0
92,2007-06-16,93,66,80,11,60,67,0,15,0.0,29.26,29.97,4.8,28,5.8,1513,0,0,0,1,0,0,0,0,0,0,0
94,2007-06-17,91,70,81,12,64,70,0,16,0.0,29.23,29.95,2.8,11,6.3,1513,0,0,0,0,0,0,0,0,0,0,0
96,2007-06-18,89,69,79,9,65,70,0,14,0.28,29.12,29.84,14.0,20,15.1,1513,0,0,0,1,0,0,0,0,0,0,0
98,2007-06-19,80,65,73,3,55,63,0,8,0.58,29.26,29.95,10.7,28,11.4,1514,0,0,0,1,0,0,0,0,0,0,0
100,2007-06-20,84,61,73,3,52,61,0,8,0.0,29.39,30.1,7.8,27,8.8,1514,0,0,0,0,0,0,0,0,0,0,0
102,2007-06-21,77,61,69,-1,51,60,0,4,0.01,29.36,30.08,3.5,3,10.7,1514,0,0,0,1,0,0,0,0,0,0,0
104,2007-06-22,76,61,69,-1,50,58,0,4,0.0,29.33,30.06,7.8,6,8.7,1514,0,0,0,1,0,0,0,0,0,0,0
106,2007-06-23,67,62,65,-5,58,61,0,0,0.05,29.23,29.96,7.6,12,9.0,1514,0,0,0,0,1,0,0,0,0,0,0
108,2007-06-24,77,63,70,-1,62,65,0,5,0.0,29.26,29.97,7.0,9,8.0,1514,1,0,0,0,0,0,0,0,0,0,0
110,2007-06-25,89,65,77,6,66,70,0,12,0.0,29.38,30.07,3.9,14,6.8,1514,1,0,0,0,0,0,0,0,0,0,0
112,2007-06-26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,1513,1,0,0,0,0,0,0,0,0,0,0
114,2007-06-27,91,71,81,10,70,72,0,16,0.15,29.29,30.02,7.5,24,8.8,1513,0,0,0,0,0,0,0,0,0,0,0
116,2007-06-28,74,58,66,-5,55,60,0,1,0.0,29.41,30.09,11.9,3,12.5,1512,0,0,0,0,0,0,0,0,0,0,0
118,2007-06-29,70,56,63,-8,55,59,2,0,0.0,29.41,30.13,7.6,2,8.3,1512,0,0,0,0,0,0,0,0,0,0,0
120,2007-06-30,79,54,67,-5,46,56,0,2,0.0,29.41,30.13,4.9,3,5.8,1512,0,0,0,0,0,0,0,0,0,0,0
122,2007-07-01,75,54,65,-7,52,58,0,0,0.0,29.51,30.23,8.6,4,8.6,1511,0,0,0,0,0,0,0,0,0,0,0
124,2007-07-02,79,53,66,-6,50,58,0,1,0.0,29.49,30.22,5.9,14,8.1,1511,0,0,0,0,0,0,0,0,0,0,0
126,2007-07-03,83,60,72,0,57,63,0,7,0.4,29.31,30.06,6.7,21,7.3,1510,0,0,0,0,1,0,0,0,0,0,0
128,2007-07-04,86,67,77,5,65,69,0,12,0.16,29.18,29.9,4.6,27,8.2,1508,1,0,0,0,0,0,0,0,0,0,0
130,2007-07-05,89,71,80,8,60,67,0,15,0.0,29.24,29.94,6.4,31,8.1,1508,1,0,0,0,0,0,0,0,0,0,0
132,2007-07-06,86,66,76,4,57,64,0,11,0.0,29.32,30.03,3.2,5,5.5,1507,0,0,0,0,0,0,0,0,0,0,0
134,2007-07-07,90,64,77,5,63,69,0,12,0.0,29.18,29.91,8.4,22,8.6,1507,0,0,0,0,0,0,0,0,0,0,0
136,2007-07-08,94,75,85,12,67,72,0,20,0.0,29.05,29.77,12.9,24,13.1,1505,0,0,0,0,0,0,0,0,0,0,0
138,2007-07-09,94,70,82,9,66,70,0,17,0.3,29.11,29.8,4.9,24,8.8,1504,0,0,0,1,0,0,0,0,0,0,0
140,2007-07-10,89,69,79,6,67,70,0,14,0.43,29.06,29.77,8.6,23,10.5,1504,0,0,0,0,0,0,0,0,0,0,0
142,2007-07-11,77,62,70,-3,51,59,0,5,0.0,29.23,29.93,8.8,30,10.9,1502,0,0,0,0,0,0,0,0,0,0,0
144,2007-07-12,80,61,71,-2,51,59,0,6,0.0,29.22,29.93,9.4,29,11.1,1501,0,0,0,0,0,0,0,0,0,0,0
146,2007-07-13,78,58,68,-5,52,58,0,3,0.0,29.26,29.98,1.4,1,5.3,1499,0,0,0,0,0,0,0,0,0,0,0
148,2007-07-14,84,61,73,0,55,62,0,8,0.0,29.08,29.79,8.3,26,13.2,1499,0,0,0,0,0,0,0,0,0,0,0
150,2007-07-15,82,60,71,-3,53,61,0,6,0.0,29.19,29.89,2.1,29,4.9,1497,0,0,0,0,0,0,0,0,0,0,0
152,2007-07-16,82,65,74,0,60,65,0,9,0.39,29.25,29.96,4.4,24,5.2,1495,0,0,0,0,1,0,0,0,0,0,0
154,2007-07-17,83,68,76,2,66,69,0,11,0.11,29.18,29.9,5.2,23,6.5,1494,0,0,0,0,1,0,0,0,0,0,0
156,2007-07-18,85,69,77,3,68,71,0,12,1.55,29.11,29.84,9.1,24,10.1,1492,0,0,0,0,1,0,0,0,0,0,0
158,2007-07-19,83,63,73,-1,63,66,0,8,0.16,29.21,29.9,7.0,1,11.9,1490,0,0,1,0,0,0,0,0,0,0,0
160,2007-07-20,75,58,67,-7,53,59,0,2,0.0,29.44,30.14,8.6,3,9.1,1490,0,0,0,0,0,0,0,0,0,0,0
162,2007-07-21,74,58,66,-8,52,58,0,1,0.0,29.51,30.22,6.5,3,7.4,1488,0,0,0,0,0,0,0,0,0,0,0
164,2007-07-22,81,58,70,-4,55,61,0,5,0.0,29.49,30.21,1.7,16,3.3,1486,0,0,0,0,0,0,0,0,0,0,0
166,2007-07-23,83,60,72,-2,55,63,0,7,0.0,29.37,30.1,3.2,9,4.0,1484,0,0,0,0,0,0,0,0,0,0,0
168,2007-07-24,82,65,74,0,58,64,0,9,0.0,29.32,30.04,3.1,20,5.2,1482,0,0,0,0,0,0,0,0,0,0,0
170,2007-07-25,85,71,78,4,61,67,0,13,0.0,29.29,30.0,5.8,25,6.6,1480,0,0,0,0,0,0,0,0,0,0,0
172,2007-07-26,83,66,75,1,65,68,0,10,0.19,29.19,29.92,7.2,22,9.4,1479,0,0,0,0,0,0,0,0,0,0,1
174,2007-07-27,83,70,77,3,68,70,0,12,0.17,29.11,29.82,3.0,3,7.9,1477,0,0,0,0,1,0,0,0,0,0,0
176,2007-07-28,80,66,73,-1,65,68,0,8,0.0,29.23,29.93,10.0,3,10.2,1475,1,0,0,0,0,0,0,0,0,0,0
178,2007-07-29,85,63,74,0,57,64,0,9,0.0,29.28,29.99,4.8,5,5.7,1473,0,0,0,0,0,0,0,0,0,0,0
180,2007-07-30,89,62,76,2,55,64,0,11,0.0,29.33,30.03,3.8,6,4.3,1471,0,0,0,0,0,0,0,0,0,0,0
182,2007-07-31,91,68,80,6,61,68,0,15,0.0,29.33,30.04,3.3,4,4.9,1469,0,0,0,0,0,0,0,0,0,0,0
184,2007-08-01,92,69,81,8,62,69,0,16,0.0,29.29,30.0,3.5,9,4.1,1466,0,0,0,0,0,0,0,0,0,0,0
186,2007-08-02,91,70,81,8,66,71,0,16,0.0,29.26,29.97,5.5,26,5.9,1464,0,0,0,0,0,0,0,0,0,0,0
188,2007-08-03,90,69,80,7,56,66,0,15,0.0,29.31,30.02,2.7,3,5.7,1462,0,0,0,0,0,0,0,0,0,0,0
190,2007-08-04,81,64,73,0,58,64,0,8,0.03,29.31,30.03,5.7,8,6.1,1460,0,0,0,1,0,0,0,0,0,0,0
192,2007-08-05,88,67,78,5,71,73,0,13,1.43,29.08,29.81,5.4,21,9.6,1458,0,0,0,0,1,0,0,0,0,0,0
194,2007-08-06,88,74,81,8,72,74,0,16,0.26,29.13,29.83,1.6,10,4.9,1456,0,0,0,0,1,0,0,0,0,0,0
196,2007-08-07,91,72,82,9,73,76,0,17,1.31,29.06,29.76,6.2,25,9.0,1453,0,0,0,0,1,0,0,0,0,0,0
198,2007-08-08,87,73,80,7,71,73,0,15,0.06,29.13,29.83,3.0,3,6.9,1451,0,0,0,0,1,0,0,0,0,0,0
200,2007-08-09,84,72,78,5,71,73,0,13,0.05,29.13,29.84,2.5,29,6.0,1449,0,0,0,1,0,0,0,0,0,0,0
202,2007-08-10,86,70,78,5,68,72,0,13,0.0,29.26,29.96,4.5,2,5.9,1446,1,0,0,0,0,0,0,0,0,0,0
204,2007-08-11,89,67,78,5,65,70,0,13,0.0,29.31,30.02,3.2,19,3.9,1404,1,0,0,0,0,0,0,0,0,0,0
206,2007-08-12,88,67,78,5,67,71,0,13,0.29,29.34,30.06,1.7,6,5.4,1402,0,0,0,0,0,0,0,0,0,0,0
208,2007-08-13,81,65,73,0,57,64,0,8,0.0,29.39,30.11,6.2,6,6.9,1399,1,0,0,0,0,0,0,0,0,0,0
210,2007-08-14,84,65,75,3,67,70,0,10,0.41,29.23,29.93,5.9,25,8.0,1397,0,0,0,0,0,0,0,0,0,0,1
212,2007-08-15,80,71,76,4,67,70,0,11,0.23,29.17,29.89,3.4,7,5.8,1395,0,0,0,0,1,0,0,0,0,0,0
214,2007-08-16,77,65,71,-1,64,67,0,6,0.0,29.28,29.97,3.6,1,5.7,1352,1,0,0,0,0,0,0,0,0,0,0
216,2007-08-17,79,60,70,-2,54,61,0,5,0.0,29.41,30.1,5.9,32,6.8,1350,0,0,0,0,0,0,0,0,0,0,0
218,2007-08-18,68,59,64,-8,54,58,1,0,0.09,29.44,30.16,6.4,12,8.1,1347,0,0,0,1,0,0,0,0,0,0,0
220,2007-08-19,68,62,65,-6,62,64,0,0,1.33,29.24,29.99,6.0,10,7.4,1345,0,0,0,0,0,0,0,0,0,0,1
222,2007-08-20,78,68,73,2,68,69,0,8,0.91,29.15,29.87,0.5,12,5.7,1342,0,0,0,0,1,0,0,0,0,0,0
224,2007-08-21,87,69,78,7,70,72,0,13,0.0,29.21,29.91,3.8,18,6.0,1340,1,0,0,0,0,0,0,0,0,0,0
226,2007-08-22,90,69,80,9,71,73,0,15,0.37,29.23,29.94,5.3,21,9.5,1337,0,0,0,0,0,0,0,0,0,1,0
228,2007-08-23,87,69,78,7,69,71,0,13,2.35,29.15,29.87,9.6,21,11.7,1334,0,0,0,0,0,0,0,0,0,0,1
230,2007-08-24,80,69,75,4,67,69,0,10,0.24,29.11,29.82,5.8,25,7.1,1331,0,0,0,1,0,0,0,0,0,0,0
232,2007-08-25,79,64,72,2,63,66,0,7,0.34,29.23,29.93,3.0,36,5.6,1329,0,0,0,1,0,0,0,0,0,0,0
234,2007-08-26,79,60,70,0,55,61,0,5,0.0,29.38,30.08,3.6,11,5.4,1326,0,0,0,0,0,0,0,0,0,0,0
236,2007-08-27,79,60,70,0,60,64,0,5,0.0,29.36,30.07,6.5,17,7.4,1323,0,0,0,0,0,0,0,0,0,0,0
238,2007-08-28,91,67,79,9,66,70,0,14,0.0,29.28,29.99,9.0,20,9.5,1321,0,0,0,0,0,0,0,0,0,0,0
240,2007-08-29,85,68,77,7,65,69,0,12,0.0,29.34,30.04,5.6,3,8.2,1318,0,0,0,0,0,0,0,0,0,0,0
242,2007-08-30,75,57,66,-4,54,60,0,1,0.0,29.47,30.18,9.1,2,9.9,1316,0,0,0,0,0,0,0,0,0,0,0
244,2007-08-31,77,57,67,-2,52,59,0,2,0.0,29.47,30.19,3.9,4,5.2,1313,0,0,0,0,0,0,0,0,0,0,0
246,2007-09-01,81,57,69,1,55,61,0,4,0.0,29.49,30.22,4.2,11,5.0,1310,0,0,0,0,0,0,0,0,0,0,0
248,2007-09-02,85,61,73,5,57,63,0,8,0.0,29.41,30.15,4.2,21,5.0,1308,0,0,0,0,0,0,0,0,0,0,0
250,2007-09-03,88,66,77,9,61,67,0,12,0.0,29.36,30.09,2.0,27,5.8,1305,0,0,0,0,0,0,0,0,0,0,0
252,2007-09-04,89,63,76,8,60,66,0,11,0.0,29.28,30.0,2.8,22,4.3,1302,0,0,0,0,0,0,0,0,0,0,0
254,2007-09-05,90,66,78,11,63,69,0,13,0.0,29.24,29.96,6.4,19,6.5,1300,0,0,0,1,0,0,0,0,0,0,0
256,2007-09-06,82,73,78,11,67,70,0,13,0.18,29.21,29.92,11.9,20,12.1,1297,0,0,0,1,0,0,0,0,0,0,0
258,2007-09-07,84,70,77,10,68,70,0,12,0.19,29.15,29.85,10.4,23,13.9,1294,0,0,0,0,1,0,0,0,0,0,0
260,2007-09-08,78,64,71,5,57,63,0,6,0.0,29.3,30.0,6.0,5,7.2,1291,0,0,0,0,0,0,0,0,0,0,0
262,2007-09-09,80,63,72,6,59,63,0,7,0.0,29.36,30.06,9.2,3,9.9,1289,0,0,0,0,0,0,0,0,0,0,0
264,2007-09-10,74,54,64,-2,58,60,1,0,0.36,29.3,30.04,7.2,2,9.0,1286,0,0,0,0,1,0,0,0,0,0,0
266,2007-09-11,71,50,61,-4,44,52,4,0,0.0,29.2,29.92,11.7,29,13.5,1283,0,0,0,0,0,0,0,0,0,0,0
268,2007-09-12,67,46,57,-8,42,49,8,0,0.0,29.4,30.12,1.8,3,5.6,1281,0,0,0,0,0,0,0,0,0,0,0
270,2007-09-13,78,50,64,-1,45,54,1,0,0.0,29.23,29.99,8.3,19,8.5,1278,0,0,0,0,0,0,0,0,0,0,0
272,2007-09-14,66,45,56,-8,39,48,9,0,0.0,29.36,30.05,12.1,32,13.4,1275,0,0,0,0,0,0,0,0,0,0,0
274,2007-09-15,61,39,50,-14,33,43,15,0,0.0,29.56,30.28,1.4,33,5.9,1272,0,0,0,0,0,0,0,0,0,0,0
276,2007-09-16,71,44,58,-6,40,49,7,0,0.0,29.46,30.19,6.8,18,7.4,1228,0,0,0,0,0,0,0,0,0,0,0
278,2007-09-17,80,52,66,2,49,57,0,1,0.0,29.39,30.12,11.7,17,12.1,1225,0,0,0,0,0,0,0,0,0,0,0
280,2007-09-18,88,63,76,12,58,65,0,11,0.0,29.34,30.06,12.9,19,13.1,1221,0,0,0,0,0,0,0,0,0,0,0
282,2007-09-19,84,65,75,12,59,65,0,10,0.0,29.41,30.11,5.0,26,9.7,1219,0,0,0,0,0,0,0,0,0,0,0
284,2007-09-20,78,60,69,7,59,63,0,4,0.0,29.39,30.12,5.3,7,6.6,1216,0,0,0,0,0,0,0,0,0,0,0
286,2007-09-21,88,64,76,14,59,66,0,11,0.0,29.18,29.9,10.3,21,12.4,1213,0,0,0,0,0,0,0,0,0,0,0
288,2007-09-22,74,51,63,1,43,53,2,0,0.0,29.42,30.12,2.6,3,6.8,1210,0,0,0,0,0,0,0,0,0,0,0
290,2007-09-23,84,50,67,6,50,58,0,2,0.0,29.43,30.16,4.6,13,5.3,1208,0,0,0,0,0,0,0,0,0,0,0
292,2007-09-24,90,68,79,18,63,68,0,14,0.0,29.27,29.99,11.4,19,11.9,1205,0,0,0,0,0,0,0,0,0,0,0
294,2007-09-25,85,63,74,13,65,69,0,9,0.27,29.23,29.95,7.9,23,10.5,1202,0,0,0,0,0,0,0,0,0,1,0
296,2007-09-26,69,53,61,1,50,55,4,0,0.09,29.31,30.03,4.3,1,6.6,1199,0,0,0,1,0,0,0,0,0,0,0
298,2007-09-27,75,49,62,2,49,55,3,0,0.0,29.26,29.97,4.9,24,6.5,1197,1,0,0,0,0,0,0,0,0,0,0
300,2007-09-28,73,53,63,4,46,53,2,0,0.0,29.47,30.17,2.3,4,7.1,1194,0,0,0,0,0,0,0,0,0,0,0
302,2007-09-29,80,50,65,6,46,55,0,0,0.0,29.5,30.23,9.5,17,9.8,1191,0,0,0,0,0,0,0,0,0,0,0
304,2007-09-30,83,59,71,12,49,59,0,6,0.14,29.36,30.1,14.4,19,14.6,1188,1,0,0,0,0,0,0,0,0,0,0
306,2007-10-01,69,59,64,6,59,61,1,0,0.29,29.28,30.0,6.1,22,8.1,1186,0,0,0,0,0,0,1,0,0,0,0
308,2007-10-02,78,57,68,10,59,63,0,3,0.09,29.18,29.92,10.8,19,11.1,1183,0,0,0,0,1,0,0,0,0,0,0
310,2007-10-03,74,55,65,8,48,56,0,0,0.0,29.28,29.98,5.9,26,7.1,1180,0,0,0,0,0,0,0,0,0,0,0
312,2007-10-04,82,51,67,10,56,61,0,2,0.0,29.34,30.04,3.9,17,4.6,1177,0,0,0,0,0,0,0,0,0,0,0
314,2007-10-05,84,62,73,16,65,68,0,8,0.0,29.36,30.08,7.0,17,7.0,1174,0,0,0,0,0,0,0,0,0,0,0
316,2007-10-06,87,69,78,22,67,70,0,13,0.0,29.33,30.04,6.9,20,7.4,1171,0,0,0,0,0,0,0,0,0,0,0
318,2007-10-07,87,67,77,21,66,70,0,12,0.0,29.31,30.03,5.2,19,5.9,1169,0,0,0,0,0,0,0,0,0,0,0
320,2007-10-08,87,60,74,18,61,66,0,9,0.0,29.23,29.93,7.7,24,10.1,1166,0,0,0,0,0,0,0,0,0,0,0
322,2007-10-09,76,49,63,8,44,53,2,0,0.0,29.21,29.94,11.5,28,12.8,1163,0,0,0,0,0,0,0,0,0,0,0
324,2007-10-10,54,47,51,-4,38,44,14,0,0.0,29.21,29.93,15.1,31,15.5,1161,0,0,0,0,0,1,0,0,0,0,0
326,2007-10-11,54,46,50,-4,39,45,15,0,0.0,29.28,30.01,11.9,36,12.9,1158,0,0,0,0,0,0,0,0,0,0,0
328,2007-10-12,56,41,49,-5,35,43,16,0,0.0,29.28,30.02,3.4,35,4.6,1115,0,0,0,0,0,0,0,0,0,0,0
330,2007-10-13,59,40,50,-3,41,47,15,0,0.0,29.31,30.04,2.7,20,3.5,1112,0,0,0,0,0,0,0,0,0,0,0
332,2007-10-14,61,53,57,4,49,53,8,0,0.15,29.34,30.06,5.6,11,6.6,1109,0,0,0,1,0,0,0,0,0,0,0
334,2007-10-15,74,51,63,10,52,57,2,0,0.07,29.21,29.95,4.1,14,5.6,1107,0,0,0,0,1,0,0,0,0,0,0
336,2007-10-16,67,52,60,8,54,57,5,0,0.24,29.16,29.88,6.4,21,7.5,1104,0,0,0,0,0,0,1,0,0,0,0
338,2007-10-17,72,47,60,8,53,57,5,0,0.04,29.07,29.83,9.3,14,9.8,1101,0,0,0,1,0,0,0,0,0,0,0
340,2007-10-18,78,59,69,18,56,61,0,4,0.3,28.59,29.34,17.2,19,18.9,1099,0,0,0,0,1,0,0,0,0,0,0
342,2007-10-19,60,52,56,5,48,52,9,0,0.01,28.75,29.44,16.2,24,16.7,1096,0,0,0,0,1,0,0,0,0,0,0
344,2007-10-20,73,47,60,10,43,52,5,0,0.0,29.02,29.71,10.9,21,12.0,1093,0,0,0,0,0,0,0,0,0,0,0
346,2007-10-21,80,60,70,20,47,57,0,5,0.0,29.08,29.78,18.0,20,18.2,1090,0,0,0,0,0,0,0,0,0,0,0
348,2007-10-22,67,46,57,7,47,50,8,0,0.16,29.26,29.97,5.2,36,9.2,1048,0,0,0,0,0,0,1,0,0,0,0
350,2007-10-23,58,43,51,2,36,44,14,0,0.0,29.2,29.93,5.2,31,8.2,1045,0,0,0,0,0,0,0,0,0,0,0
352,2007-10-24,55,43,49,0,35,42,16,0,0.0,29.46,30.16,13.3,2,14.5,1043,0,0,0,0,0,0,0,0,0,0,0
354,2007-10-25,55,45,50,2,39,46,15,0,0.0,29.47,30.2,13.9,6,14.1,1040,0,0,0,1,0,0,0,0,0,0,0
356,2007-10-26,65,53,59,11,48,52,6,0,0.33,29.31,30.07,6.2,5,6.9,1037,0,0,0,0,1,0,0,0,0,0,0
358,2007-10-27,55,37,46,-2,38,45,19,0,0.01,29.56,30.25,9.4,32,9.9,1035,0,0,0,0,1,0,0,0,0,0,0
360,2007-10-28,56,34,45,-2,30,39,20,0,0.0,29.79,30.52,3.4,23,4.2,1032,0,0,0,0,0,0,0,0,0,0,0
362,2007-10-29,61,39,50,3,32,42,15,0,0.0,29.63,30.4,10.2,22,10.4,1030,0,0,0,0,0,0,0,0,0,0,0
364,2007-10-30,66,41,54,8,38,46,11,0,0.0,29.43,30.2,12.2,20,12.5,1027,0,0,0,0,0,0,0,0,0,0,0
366,2007-10-31,62,41,52,6,37,46,13,0,0.0,29.3,30.02,12.2,25,14.3,1024,0,0,0,0,0,0,0,0,0,0,0
368,2008-05-01,74,48,61,8,51,56,4,0,0.0,28.95,29.67,10.6,16,11.5,1401,0,0,0,0,0,0,0,0,0,0,0
370,2008-05-02,74,51,63,9,55,58,2,0,1.28,28.79,29.53,13.8,20,15.1,1403,0,0,0,0,1,0,0,0,0,0,0
372,2008-05-03,56,43,50,-4,41,46,15,0,0.0,29.01,29.69,10.4,25,12.7,1405,0,0,0,1,0,0,0,0,0,0,0
